# Every key this machine can say, and the English under it.
#
# GENERATED. Do not edit by hand:
#   UPDATE_VOCABULARY_SNAPSHOT=1 cargo test -p alo-saying \
#     --test a_published_sentence_keeps_its_key
#
# It exists so that the English under a published key cannot move without somebody
# answering whether the meaning moved with it. A translation is keyed, so editing the
# English under a key leaves every translation of it rendering perfectly and saying
# something this product no longer says. ADR 0068 decides what may change; reworded.txt
# beside this file is where a rewording that kept its key says why the meaning held.
#
# One line per key: the key, a tab, then the English exactly as the crate declares it.

access.a-setting	a setting
opening.kind.pages-document	a Pages document
opening.kind.pdf	a PDF document
opening.kind.png-image	a PNG image
opening.kind.powerpoint-presentation	a PowerPoint presentation
opening.kind.rich-text	a rich text document
opening.kind.text	plain text
opening.kind.text-in-an-older-character-set	plain text written in an older character set
opening.kind.wave-audio	a WAVE sound recording
opening.kind.webm-video	a WebM video
opening.kind.webp-image	a WebP image
opening.kind.word-document	a Word document
opening.kind.zip-archive	a zip archive
opening.macros.will-not-be-carried	It contains macros: they will not run, and they will not be carried into the copy
opening.macros.will-not-run	It contains macros, and they will not run
opening.named-as-something-else	This file is named as {named}, but it is {what}
opening.named-as-what-it-is-not	This file is named as {named}, but it is not one
opening.opens-as-it-is	This is {what}, and this machine opens it as it is
opening.unreadable	This file could not be read, so nothing has been decided about it
opening.would.a-complete-copy	What would open is a complete copy, which whoever has the original can send again
opening.would.a-copy-without-the-password	What would open is a copy saved without the password, which whoever sent it can make
opening.would.another-machine-or-format	What would open it is a machine with a program for this kind of file, or a copy saved in a different format by whoever sent it
opening.would.the-document-itself	If a document was expected, whoever sent it can send the document itself instead
opening.would.whoever-made-it	Whoever sent it can say which program made it, or send a copy saved in a different format
overlay.answers.nothing	no model or provider has been chosen
overlay.answers.something	{model} answers, {where}
overlay.at-rest.nothing-chosen	Nothing has been chosen to answer questions yet. Choose a model to run on this machine, or add a provider to send questions to, and the agent can start
overlay.at-rest.nothing-granted	The agent can reach nothing on this machine yet. Grant it a folder, and it can work with what is in that folder and with nothing else
overlay.at-rest.ready	Ask the agent anything
overlay.egress.nothing-is-leaving	nothing is leaving this machine
overlay.granted.nothing	nothing is granted
overlay.summon.no-compositor	The agent has nowhere to appear: the desktop is not running. Sign in to the desktop and press the key again
overlay.summon.nothing-to-show-on	The agent has nowhere to appear: no screen is connected. Connect a screen and press the key again
picking.ask	Pick a folder for the agent to reach
picking.could-lead-elsewhere	That place is named in a way that could lead somewhere else. Start the picker at the folder itself
picking.covers	The agent will be able to reach {folder} and everything inside it, and nothing outside it
picking.more-than-shown	There are more folders here than can be shown. Open one of these to narrow it down, or start somewhere further in
picking.not-a-folder	That is not a folder, so there is nothing in it to pick. Pick a folder instead
picking.not-a-full-path	That is not a place on this machine. Start the picker at a folder named in full, such as your home folder
picking.not-shown-here	There is no folder of that name here. Pick one of the folders shown
picking.nothing-above	This is as far up as the picker goes. Open one of the folders shown, and pick from there
picking.nothing-there	That folder is not there any more. Go back, and pick another one
picking.the-whole-machine	The agent is never granted the whole machine. Open a folder, and pick the folder you actually mean
picking.would-not-be-read	This machine would not open that folder. Pick a folder you can open yourself, or ask whoever looks after this machine
portals.answered.appearance-read	{application} read your appearance settings, such as light or dark
portals.answered.appearance-sent	{application} was told your appearance settings changed, such as from light to dark
portals.answered.network-read	{application} read whether this machine is connected, and whether the connection is metered
portals.answered.opened-in	{application} had a file it was granted handed to {opener} to open
portals.answered.secret-handed-over	{application} was given its own secret from your keyring
portals.not-a-request.could-lead-elsewhere	A path with .. in it can lead somewhere else, so a request names a file by its own path
portals.not-a-request.needs-a-path	This portal is about a file, so a request to it has to say which file
portals.not-a-request.no-application	A request has to say which application is asking, and this one said none
portals.not-a-request.not-a-full-path	A request names a file by its full path, so it means the same thing wherever it is read
portals.not-a-request.not-an-identifier	A request names an application by an identifier like org.gnome.Cheese, with no spaces in it
portals.not-a-request.not-over-a-path	This portal is not about a file, so a request to it names none
portals.portal.camera	Lets an application use the camera
portals.portal.clipboard	Lets an application read what you copied, and copy something for you
portals.portal.file-chooser	Lets an application open or save a file you choose, and reach that file and nothing beside it
portals.portal.inhibit	Lets an application keep the machine awake, for example during a presentation
portals.portal.microphone	Lets an application use the microphone
portals.portal.network-monitor	Lets an application know whether the machine is connected to a network, and never what is sent over it
portals.portal.notifications	Lets an application send you notifications
portals.portal.open-with	Lets an application open a file you have granted it in the application that opens that kind of file
portals.portal.power-profile-monitor	Lets an application know the power profile, so it can use less power while you are saving it
portals.portal.print	Lets an application print a document you have granted it
portals.portal.screen-capture	Lets an application record or share the screen for as long as the grant lasts
portals.portal.screenshot	Lets an application take one picture of the screen
portals.portal.secret	Lets an application keep its own passwords in your keyring, and read back only its own
portals.portal.settings	Lets an application read your appearance settings, such as light or dark, so it can match them
portals.portal.trash	Lets an application move a file you have granted it to the trash
portals.portal.wallpaper	Lets an application set the desktop background
portals.read-back.asked-by	Asked by {application}
portals.read-back.file-not-read	The file could not be read, so nothing was opened
portals.read-back.nobody-named	an application that could not be named
portals.read-back.not-a-kind-anything-opens	The file was not a kind anything opens — a program, empty, damaged, protected with a password or not recognised — so nothing was opened
portals.read-back.shortened	What applications on this machine were answered does not go all the way back — older answers were removed under how long this machine keeps its record
portals.read-back.that-kind-of-file	that kind of file
portals.read-back.what-it-asked-for	what it asked for
portals.read-back.whole	Nothing has been removed from what applications on this machine were answered
portals.refused.nothing-granted	{application} has not been granted anything on this machine, so what it asked for was refused without asking you
portals.unanswered.appearance-unread	Your appearance settings could not be read, so the application was not told them
portals.unanswered.applications-unread	Which application opens a kind of file could not be read, so nothing was opened
portals.unanswered.grants-unread	The grants on this machine could not be read, so the request was refused
portals.unanswered.keyring-unavailable	Your keyring could not be reached or is locked, so the application was not given its secret
portals.unanswered.network-unread	This machine could not tell whether it is connected, so the application was not told
portals.unanswered.no-such-setting	An application asked for a setting this machine does not share with applications, and was told there is none
portals.unanswered.not-a-file	An application can ask for a file to be opened, and what it handed over was not a file
portals.unanswered.not-a-token	A request names itself with letters, digits and underscores, and this one did not
portals.unanswered.not-decided-here	This machine does not yet decide what opens a web link or a folder, so nothing was opened
portals.unanswered.not-identified	A request came from a program that is not a sandboxed application, so no application could be named and it was refused
portals.unanswered.not-opened	{opener} did not open the file when it was asked to, so nothing was opened
portals.unanswered.not-written	The application stopped listening before its secret could be handed over
power.getting-low	The battery is getting low
power.how-long-is-left	About this long at what this machine is doing now
power.how-long-is-not-said	This machine will not guess how long is left while what it is doing keeps changing
power.nearly-gone	The battery is nearly gone. Save what you are doing
power.profile.balanced	Balanced
power.profile.performance	Everything it has
power.profile.saver	Save power
power.something-is-why	This is what is using this machine
power.stops-charging-at	Stop charging at this much, which makes a battery last years longer
power.the-model-is-why	Your model is what is using this machine
printing.a-printer-without-a-name	a printer that has not given a name this machine can show
printing.document.cannot-be-opened	Nothing was printed, because this file cannot be opened
printing.document.not-a-kind-printers-take	This is {what}, and this machine prints PDF documents, pictures and plain text but not this kind of file as it is, so nothing was printed
printing.document.not-what-its-name-says	Nothing was printed, because this file is not what its name says
printing.document.unreadable	This file could not be read, so nothing was printed
printing.found.on-the-network	{printer}, on your network
printing.found.on-this-machine	{printer}, connected to this machine
printing.no-printer-yet	No printer is set up on this machine yet. Open Printers in Settings to find one
printing.not-printing	Nothing was printed, because what was approved was not printing a document
printing.not-shown-leaving	Nothing was printed, because sending the document to a printer on the network had not been shown as leaving this machine
printing.not-taken	The printer did not take this document, so it will not print by itself. Once that is put right, print it again
printing.printed	The document has been sent to the printer
printing.ready	The printer is ready
printing.set-up.did-not-answer	{printer} did not answer when this machine asked how to print on it, so it has not been set up. Check that it is switched on and connected, then set it up again
printing.set-up.done	{printer} is set up, and this machine prints on it
printing.set-up.needs-its-makers-program	{printer} can only be set up with a program from the company that made it, and this machine does not install programs like that, so it has not been set up. A printer that prints without one, as most printers sold in recent years do, sets up here by itself
printing.set-up.not-permitted	This machine does not allow printers to be added from this account, so {printer} has not been set up. Someone who looks after this machine can set it up
printing.set-up.proposed	Set up {printer}, so this machine can print on it
printing.set-up.service-not-answering	The part of this machine that prints did not respond, so {printer} has not been set up. Restarting this machine starts it again
printing.stopped.jammed	Paper is stuck in the printer. Open it where its own screen or lights point, gently take the stuck paper out, and close it again
printing.stopped.not-answering.not-set-up	The printer is not answering: this machine looked for how it was set up and did not find it. Set it up again in Printers, in Settings
printing.stopped.not-answering.the-printer	The printer is not answering: this machine asked how it is, and it said nothing this machine can act on. Check that it is switched on and connected, by its cable or to the same network as this machine, and look at its own screen or lights
printing.stopped.not-answering.the-service	The printer is not answering: the part of this machine that prints did not respond when it was asked. Restarting this machine starts it again
printing.stopped.out-of-ink	The printer has run out of ink or toner. Put in a new cartridge, and documents it has already taken print once it has one
printing.stopped.out-of-paper	The printer is out of paper. Put paper in its tray, and documents it has already taken print once it has some
printing.stopped.refused-the-job	The printer refused this document, so nothing was printed. Sending it again will not change that: check in Printers, in Settings, that the printer is taking documents, and if it is, print a PDF copy of the document instead
printing.verb.print-document.document	the document to print
printing.verb.print-document.purpose	print a document on this machine's printer
printing.verb.print-document.sentence	print {document} on this machine's printer
protocol.from-a-newer-alo-os	that message comes from a newer alo OS than this one — update this machine
protocol.more-than-one-message	send one message per line — that was more than one
protocol.not-a-format	that message names a format no alo OS has ever written
protocol.not-an-answer-for-a-person	that answer was meant for an agent, and a person's screen was given it
protocol.not-an-answer-for-an-agent	that answer was meant for a person's screen, and an agent was given it
protocol.not-for-a-person	that is something an agent asks during a turn, not an answer a person gives
protocol.not-for-an-agent	an agent cannot answer a question that was put to a person
protocol.not-readable	this machine could not read that message
protocol.too-long	that message is longer than this machine will read — send a shorter one
proxy.address.carries-a-password	That proxy address has a name and a password written into it. Type the address on its own, and the name and the password in their own fields — the password is then kept safely and never written into a file
proxy.address.no-place-for-the-password	Type the name the proxy asks for, or leave both the name and the password empty
proxy.address.no-port	Type the port the proxy answers on, beside its address
proxy.address.not-a-host	That is not the name of a proxy. Type the name of the machine on its own, without http:// in front of it and without anything after it
proxy.address.not-one-line	That proxy address is not one line. Type the name of the proxy on its own
proxy.address.nowhere	Type the address of the proxy, or choose to reach the network directly
proxy.address.too-long	That proxy address is longer than any host can be. Check it against what you were given
proxy.configuration.carries-a-password	That address has a name and a password written into it. Type the address on its own — a password written into it would be written into this machine's settings with it
proxy.configuration.not-fetchable	That is not an address this machine can fetch the network's rule from. Type the whole address, beginning with http:// or https://
proxy.configuration.not-one-line	That address is not one line. Type the address this network publishes its rule at on its own
proxy.configuration.nowhere	Type the address this network publishes its rule at, or choose to reach the network directly
proxy.configuration.too-long	That address is longer than this machine accepts. Check it against what you were given
proxy.exception.no-domain	One of the places to reach directly names no domain. Type a name such as example.com, with or without a dot in front of it
proxy.exception.not-one-line	One of the places to reach directly is not one name. Type each machine or domain as an entry of its own
proxy.exception.nothing	One of the places to reach directly is empty. Type the name of a machine or a domain there, or remove it
proxy.exception.too-long	One of the places to reach directly is longer than any machine's name can be. Check it against what you were given
proxy.not-changed.an-organisation-set-it	Your organisation set the proxy for this machine, so it cannot be changed here. Ask whoever manages it
proxy.not-signed-in.no-password	This machine does not have the password the proxy for this network asks for, so nothing was sent. Ask whoever manages this machine
proxy.not-signed-in.not-usable	This machine could not use the password it has for this network's proxy, so nothing was sent. Ask whoever manages this machine
proxy.not-signed-in.readable-by-anybody	The password for this network's proxy is kept on this machine where other people using it could read it, so nothing was sent. Ask whoever manages this machine to set it again
proxy.password.blank	Type the password the proxy asks for, or leave the name empty as well
proxy.password.not-sendable	That password holds something that cannot be sent. Type it again rather than pasting it
proxy.refused.could-not-be-worked-out	This machine could not work out how to reach that, so nothing was sent. Ask whoever runs this network
proxy.refused.nothing-works-it-out	This machine cannot read the rule this network publishes, so nothing was sent. Ask whoever runs this network for the address of its proxy
proxy.set-by.an-organisation	Your organisation set this
proxy.set-by.this-person	You set this
proxy.the-proxy.automatic	This machine asks the network where each connection should go
proxy.the-proxy.manual	This machine reaches the network through the proxy set here
proxy.the-proxy.none	This machine reaches the network directly
recounting.description-not-read	What this machine did cannot be shown to you: what this machine says about itself could not be read. Ask whoever set it up
recounting.no-compositor	What this machine's record says cannot be put in front of you: the desktop is not running. Sign in to the desktop, and ask again
recounting.no-description	What this machine did cannot be shown to you: this machine does not say where it keeps a record of what its agent has done. Ask whoever set it up
recounting.not-a-description	What this machine did cannot be shown to you: what this machine says about itself cannot be read by this version of alo OS. Ask whoever set it up
recounting.nothing-to-show-on	What this machine's record says cannot be put in front of you: no screen is connected. Connect a screen, and ask again
recounting.nothing-to-tell	nothing in this machine's record answers that question
recounting.only-the-most-recent	this is the most recent part of what answers that question, and not all of it
recounting.outcome.answered-for-another-machine	a machine you paired with asked a question and it was answered on this machine
recounting.outcome.answered-here	the agent asked a question and it was answered on this machine
recounting.outcome.carried-on-after-sleep	the machine went to sleep while the agent was working on this, and the work carried on when it woke
recounting.outcome.grants-not-read-again	what you have granted could not be read again, so this machine went on with the list it already had
recounting.outcome.held-back	something would have left this machine and was not allowed to, so nothing left
recounting.outcome.left	something left this machine
recounting.outcome.left-on-its-own	alo OS reached the network itself, with nobody having asked it to
recounting.outcome.let-go-outside-the-window	this can no longer be put back: the machine keeps what an agent changed only for as long as you asked it to
recounting.outcome.let-go-the-disk-needed-the-room	this can no longer be put back: the disk was running out of room, and the oldest of what the machine was holding went first
recounting.outcome.let-go-the-person-asked-to-forget	this can no longer be put back: you asked this machine to forget everything it was keeping so that the agent's changes could be undone
recounting.outcome.machine-change-handed-on	a change to settings for the whole machine was passed on to be made, as the person approved
recounting.outcome.machine-change-refused	a request to change settings for the whole machine was refused, and nothing was changed
recounting.outcome.never-became-a-call	the agent asked for something this machine does not offer, so nothing was done
recounting.outcome.never-put-anywhere	the agent asked a question and it was not put anywhere, so nothing was sent
recounting.outcome.nobody-was-asked	the agent asked to do this and it was refused before anybody was asked about it
recounting.outcome.not-bounded	the agent asked for this and nothing was done, because this machine could not hold the agent      inside what was granted
recounting.outcome.not-put-back	you asked for this to be put back as it was, and it could not be
recounting.outcome.paired	this machine was paired with another machine
recounting.outcome.put-back	you put this back as it was before the agent changed it
recounting.outcome.ran	the agent did this
recounting.outcome.rolled-back	this machine went back to the version of its system it ran before, as the person asked, after they restarted it
recounting.outcome.stopped-by-sleep	the machine went to sleep while the agent was working on this, and the work was stopped when it woke
recounting.outcome.the-grants-said-no	the agent asked to do this and it was refused at the moment it would have happened
recounting.outcome.the-person-said-no	the agent asked to do this and the person at this machine said no
recounting.outcome.updated	this machine started on an updated version of its system, after the person restarted it
recounting.outcome.workspace-opened	the person at this machine opened a workspace found on the network
setup.choice.not-at-all	not at all
setup.choice.not-at-all.is	nothing answers questions, and everything else on this computer works the same way
setup.choice.on-a-machine-on-this-network	on a machine on your network
setup.choice.on-a-machine-on-this-network.is	another computer you have paired with this one answers, and your question leaves this computer
setup.choice.on-this-machine	on this machine
setup.choice.on-this-machine.is	a model already on this computer answers, and your question does not leave it
setup.choice.with-a-provider	with a provider you add
setup.choice.with-a-provider.is	a service you name and give an address and a key answers, and your question leaves this network
setup.not-answered.already-answered	setup has already been answered on this computer, so it was not answered again — what answers your questions is in settings
setup.not-answered.another-choice	that answer is not the choice that is selected, so nothing has been chosen and setup is still waiting for an answer
setup.not-answered.no-paired-machine	this computer has not been paired with another one, so nothing has been chosen and setup is still waiting for an answer
setup.not-answered.nothing-selected	nothing is selected, so nothing has been chosen and setup is still waiting for an answer
setup.not-answered.nothing-to-ask-for	that service has not been given a model to answer with, so nothing has been chosen and setup is still waiting for an answer
setup.the-question	where should your questions be answered?
shortcuts.action.close-window	Close the window
shortcuts.action.launcher	Open the launcher
shortcuts.action.maximise-window	Maximise the window, or put it back
shortcuts.action.minimise-window	Minimise the window
shortcuts.action.next-application	Next application
shortcuts.action.next-window	Next window
shortcuts.action.previous-application	Previous application
shortcuts.action.previous-window	Previous window
shortcuts.action.snap-left	Put the window on the left half
shortcuts.action.snap-right	Put the window on the right half
shortcuts.action.the-agent	Ask the agent
shortcuts.chord.nothing-held	hold Super, Ctrl or Alt as well — a shortcut on {key} by itself would take that key away from everything you type
shortcuts.chord.shift-is-not-enough	Shift only changes which character {key} prints — hold Super, Ctrl or Alt as well
shortcuts.chord.the-clipboard-copies	Ctrl+C is how copying works in every application — pick another key
shortcuts.chord.the-clipboard-cuts	Ctrl+X is how cutting works in every application — pick another key
shortcuts.chord.the-clipboard-pastes	Ctrl+V is how pasting works in every application — pick another key
shortcuts.clash.more-than-one-thing	{chord} is set to do more than one thing — change one of them
shortcuts.clash.taken	{chord} is already {action} — change that one first, or use another key
shortcuts.kept.another-format	your shortcut settings at {path} were written for a different alo OS than this one, so nothing in the file has been used and every shortcut is the one alo OS ships
shortcuts.kept.not-expressible	this alo OS could not write that change into shortcut settings at {path} it can read back again, so no shortcut has been changed
shortcuts.kept.not-read	your shortcut settings at {path} could not be read, so every shortcut is the one alo OS ships
shortcuts.kept.not-replaced	your shortcut settings at {path} could not be read, so that change has not been written over them and no shortcut has been changed — correct the file, or put shortcuts back as alo OS ships them
shortcuts.kept.not-understood	your shortcut settings at {path} are not settings alo OS can read, so nothing in the file has been used and every shortcut is the one alo OS ships
shortcuts.kept.not-understood-at	your shortcut settings at {path} stop making sense at line {line}, so nothing in the file has been used and every shortcut is the one alo OS ships
shortcuts.kept.not-written	your shortcut settings at {path} could not be written, so no shortcut has been changed
shortcuts.kept.unknown-key	your shortcut settings at {path} say {key}, which is not something alo OS can change about shortcuts, so nothing in the file has been used
shortcuts.key.backspace	Backspace
shortcuts.key.delete	Delete
shortcuts.key.down	Down
shortcuts.key.end	End
shortcuts.key.enter	Enter
shortcuts.key.escape	Escape
shortcuts.key.home	Home
shortcuts.key.insert	Insert
shortcuts.key.left	Left
shortcuts.key.page-down	Page Down
shortcuts.key.page-up	Page Up
shortcuts.key.print	Print
shortcuts.key.right	Right
shortcuts.key.space	Space
shortcuts.key.tab	Tab
shortcuts.key.up	Up
shortcuts.modifier.alt	Alt
shortcuts.modifier.ctrl	Ctrl
shortcuts.modifier.shift	Shift
shortcuts.modifier.super	Super
signing-in.already-signed-in	This machine is already signed in. Sign out of the session that is open before starting another one
signing-in.nobody-here	Signing in did not finish: this machine has no account with that number. The accounts on this machine and the screen you signed in at disagree about who you are
signing-in.not-opened	Signing in did not finish: this machine would not start a session. Nothing you typed was wrong, and nothing about your account has changed
signing-in.not-yours-to-ask	Something asked this machine to start a session, and it is not the screen people sign in at. Nothing was started
sleeping.after.stopped	The agent stopped working on what you asked, because its time ran out while this machine was asleep. Ask again to start over.
sleeping.holding.the-lid	Deciding what closing the lid does
sleeping.holding.until-locked	Locking this machine before it sleeps
sleeping.kept-awake.by-an-application	This machine is staying awake because {application} asked to keep it awake
sleeping.kept-awake.by-the-agent	This machine is staying awake because the agent is still working on what you asked
sleeping.kept-awake.by-your-setting	This machine is staying awake because you set it to stay awake
sleeping.kept.another-format	your sleep settings at {path} were written for a different alo OS than this one, so nothing in the file has been used and this machine sleeps as alo OS ships it
sleeping.kept.not-expressible	this alo OS could not write that change into sleep settings at {path} it can read back again, so nothing about sleep has been changed
sleeping.kept.not-read	your sleep settings at {path} could not be read, so this machine sleeps as alo OS ships it
sleeping.kept.not-replaced	your sleep settings at {path} could not be read, so that change has not been written over them and nothing about sleep has been changed — correct the file, or put sleep back as alo OS ships it
sleeping.kept.not-understood	your sleep settings at {path} are not settings alo OS can read, so nothing in the file has been used and this machine sleeps as alo OS ships it
sleeping.kept.not-understood-at	your sleep settings at {path} stop making sense at line {line}, so nothing in the file has been used and this machine sleeps as alo OS ships it
sleeping.kept.not-written	your sleep settings at {path} could not be written, so nothing about sleep has been changed
sleeping.kept.unknown-key	your sleep settings at {path} say {key}, which is not something alo OS can change about sleep, so nothing in the file has been used
sleeping.lid.stays-awake	This machine is staying awake with its lid closed because another display is attached and you chose that
sleeping.not-asleep	This machine did not go to sleep. It is locked and still running.
sleeping.not-held.by-the-machine	This machine would not agree to stay awake, so it may still go to sleep
sleeping.not-held.not-asking-to-stay-awake	{application} did not ask to keep this machine awake, so it is not keeping it awake
sleeping.not-held.the-agent-is-not-working	The agent is no longer working on what you asked, so it is not keeping this machine awake
sleeping.setting.keep-awake	Keep this machine awake
sleeping.setting.lid-sleeps	Sleep when the lid is closed
sleeping.setting.lid-stays-awake-with-a-display	Stay awake when the lid is closed and another display is attached
software.installed	{application} is installed. It has been given nothing: it asks when it needs a file, the camera or anything else, and you answer
software.refused.already-installed	{application} is already installed on this machine, so it was not installed again. Updates for it are offered in Software
software.refused.did-not-answer	The part of this machine that installs applications did not respond, so nothing was changed. Restarting this machine starts it again
software.refused.not-enabled	{source} is not a place this machine installs applications from, so nothing was installed. Choose one of the places listed under Software in Settings
software.refused.not-installed	{application} is not installed on this machine, so there is nothing to update or remove. Check the application's name
software.refused.not-offered	{source} does not offer {application}, so nothing was installed. Check the application's name, or choose another place it comes from
software.refused.not-verified	{source} is set up without checking that what it sends really comes from it, so this machine does not install or update anything from it. Nothing was installed
software.refused.nowhere-to-reach	{source} is not set up with an address on the network this machine can reach, so nothing was installed or updated from it. Whoever set it up can give it one
software.refused.outside-the-bound.administrator	The organisation that manages this machine does not permit installing applications from {source}, so nothing was installed or updated from it. Someone who looks after this machine can say which places are permitted
software.refused.outside-the-bound.this-person	This machine's own settings do not permit installing applications from {source}, so nothing was installed or updated from it. No organisation set this: it was set on this machine, and can be changed there
software.refused.signature-not-shown	What {source} sent for {application} could not be shown to come from {source}, so nothing was installed and nothing it sent was kept. Try again later, or ask whoever runs {source}
software.refused.still-open	{application} is open, so it was not updated. Close it and choose to update it again: an update never closes an application by itself
software.removed	{application} is removed. Everything it was allowed has ended, and so has every permission to use it
software.update-offered	A newer version of {application} is ready. It is updated when you choose, and never while it is open
software.updated	{application} is updated. Nothing else was closed or restarted
software.verb.install-application.application	the application to install, by its identifier
software.verb.install-application.purpose	install an application from a place this machine installs applications from
software.verb.install-application.sentence	install {application} from {source}
software.verb.install-application.source	the place to install it from, by the name this machine gives that place
software.web.nothing-opens	No application on this machine opens web addresses, so nothing was opened. Install a web browser, and it opens them
software.web.nothing-opens.choice-gone	{chosen}, which you chose to open web addresses, is not installed, and nothing else on this machine opens them. Install it again, or install another web browser
software.web.opens.chosen	{application} opens web addresses, because you chose it
software.web.opens.instead	{application} opens web addresses, because {chosen}, which you chose, is not installed. Install it again, or choose another
software.web.opens.instead-of-a-persons-own	{application} opens web addresses. {chosen}, which you chose, is yours alone, and a web address written by somebody else is never handed to it
software.web.opens.shipped	{application} opens web addresses. It came with this machine, and you can choose another or remove it
software.web.refused.carries-a-password	That web address carries a name and a password inside it, so nothing was opened. Open the site and sign in there instead
software.web.refused.not-a-web-address	That is not a web address, so nothing was opened. A web address begins with http:// or https://
software.web.refused.not-an-application	Something asked to open a web address without saying which application it is, so nothing was opened. An application that cannot name itself cannot be allowed anything either
software.web.refused.nothing-granted	{application} has not been allowed anything on this machine, so the web address was not opened. Allow it the web browser you want it to open addresses in, and it can ask again
sound.muted	Muted — nothing is heard from it
sound.not-muted	On
sound.pinned	Always use this one when it is here
sound.pinned-one-is-away	The device you always use is not connected, so this machine chose another
starting.menu.windows	Windows
starting.now-starts-alo-os	alo OS now starts on this computer whenever nobody chooses. You can change that here at any time
starting.now-starts-windows	Windows now starts on this computer whenever nobody chooses. You can change that here at any time
starting.refused.approval-not-accepted	This was not done, because its approval was not accepted: it was used already, came too late, or was not given for this. Nothing was changed. Ask again, and approve it when you are asked
starting.refused.does-not-start-windows	What was chosen does not start Windows, so nothing was changed. Switch the computer off and on, and choose Windows from the list it starts at
starting.refused.more-than-one-windows	More than one thing on this computer starts Windows, so nothing was changed. Switch the computer off and on, and choose Windows from the list it starts at
starting.refused.no-windows-here	There is no Windows on this computer to start, so nothing was changed. A computer alo OS replaced has only alo OS on it
starting.refused.not-a-starting-change	This was not about which system starts, so nothing was changed
starting.refused.not-answering	This computer will not say what it can start, so nothing was changed. Restart it, then try again
starting.refused.not-being-kept	This machine has stopped keeping its record of changes to its settings, so it makes none. Nothing was changed. Restart the machine
starting.refused.not-remembered	This computer would not keep which system it should start, so nothing was changed. It still starts the one it started before, and you can choose the other from the list it shows when it is switched on
starting.refused.nothing-makes-changes	The part of this machine that changes its settings is not running, so nothing was changed. Restart the machine
starting.refused.would-not-be-told	This computer would not be told to start Windows next time, so nothing was changed. Switch it off and on, and choose Windows from the list it starts at
starting.starts-at-alo-os	This computer starts alo OS when nobody chooses
starting.starts-at-windows	This computer starts Windows when nobody chooses
starting.windows-next	Windows will start the next time you switch this computer on. Nothing else changed: the time after that, it starts the way it always does
telling.carry-on	You can carry on. Nothing else on this machine depends on the agent, and nothing here is waiting for you to do anything about this
telling.runs-them-anyway	That is said once: alo OS will run these weights whenever you choose them, and will not mention their size again by itself
telling.the-agent-cannot-answer	The agent cannot answer right now
turn.closed	this turn has stopped, because what happened on it could not be written down
turn.grant-here-expired	{machine} was permitted {reach} on this machine, and that has expired, so it cannot reach {wanted} — nothing granted on another machine stands in for it
turn.no-longer-paired	this machine is no longer paired with {machine}, so nothing more it asked for is considered
turn.not-bounded	nothing was done: this machine cannot hold an agent inside what you granted it, so it will not let one act at all — ask whoever set this machine up to look at it
turn.not-granted-here	{machine} has not been granted {wanted} on this machine — what was granted on another machine does not reach here, and only a grant made here would
